common_name,introduced,log_10_mass,resident,max_color_contrast,popularity,commonness
Western Screech-owl,False,2.24,True,32.5,0.4505114880377,0.438257210128911
Gray Hawk,False,2.63,False,30,0.799777764304249,0.42641699217869
Parasitic Jaeger,False,2.65,False,60,-0.609283929575366,0.417940899646071
Scaled Quail,False,2.27,True,30,0.147144308846798,0.414388834261005
White-headed Woodpecker,False,1.79,True,100,-0.092159864361393,0.404446809982168
Scott's Oriole,False,1.56,False,100,-0.848868354235526,0.402849320258725
Marbled Murrelet,False,2.34,False,69.5,0.59091430442089,0.399673134808586
Purple Sandpiper,False,1.81,False,50,0.234654080630052,0.389280054607837
Arctic Tern,False,2.049218023,False,75,0.966195252003734,0.384017735518849
Tropical Kingbird,False,1.58,False,80,-0.666099607093019,0.381536927948327
Pinyon Jay,False,2.02,True,100,0.025568836014757,0.380315318159812
Lawrence's Goldfinch,False,1.04,False,70,-0.979483394845037,0.378943356397326
Black Guillemot,False,2.58,False,70,-0.616160359187153,0.375992698908144
Spotted Dove,True,2.22,True,20,0.631135780527912,0.372778925464512
Northern Saw-whet Owl,False,2,False,25,1.03913895296335,0.369452388040402
Surfbird,False,2.3,False,70,-0.116981496183324,0.367197108430836
Wandering Tattler,False,2.07,False,30,-0.714089763739893,0.362235493289791
Egyptian Goose,True,3.352182518,True,35,0.527564457922792,0.355150156516404
Tricolored Blackbird,False,1.76,False,80,-0.054885554575814,0.3541352806921
Cassin's Sparrow,False,1.26,False,22.5,-1.30196925619316,0.354097692698607
White-winged Crossbill,False,1.46,False,80,-0.218770728414237,0.353740606760426
Virginia's Warbler,False,0.913813852,False,50,-0.939895958583656,0.351034271228947
Bohemian Waxwing,False,1.74,False,40,0.392306373376202,0.347594969824358
Lesser Nighthawk,False,1.69,False,60,-0.598032632168474,0.338836967340544
White-tailed Hawk,False,3.01,True,85,0.074606730534047,0.329402380973859
Altamira Oriole,False,1.74,True,100,-0.658517099892323,0.328838561071468
Williamson's Sapsucker,False,1.68,False,90,-1.13919606340948,0.32628257751396
Common Poorwill,False,1.68,False,25,-0.006493739975171,0.324365589845829
Mountain Quail,False,2.36,True,30,0.394063912806161,0.322467396174444
Hepatic Tanager,False,1.57,False,90,-0.719566201751392,0.321659254314349
Fulvous Whistling-duck,False,2.88,False,70,0.030895136610767,0.312450195908622
King Rail,False,2.53,False,60,0.242569893023071,0.308315516624417
Northern Goshawk,False,2.94,False,50,1.44932902446193,0.306924760865185
Apapane,False,1.158362492,True,100,-0.13918265209736,0.305853503050641
Red-crowned Parrot,False,2.5,True,100,-0.09338205889221,0.30258334761677
Green Kingfisher,False,1.57,True,100,-0.674559541752863,0.301418119818495
Razorbill,False,2.86,False,85,0.506742644375912,0.293430671201282
Rivoli's Hummingbird,False,0.9,False,80,-0.427947820810131,0.288544232047222
Northern Pygmy-owl,False,1.79,True,32.5,0.109416510407459,0.280406431456038
Gilded Flicker,False,2.16,True,45,-0.468767443197498,0.274899790409348
Gray Kingbird,False,1.633468456,False,65,0.071211111891986,0.272306218858347
Eurasian Tree Sparrow,True,1.33,True,45,0.96386798411323,0.271535664991745
Nelson's Sparrow,False,1.23,False,70,-0.316364524615547,0.267213045740077
Red Phalarope,False,1.77815125,False,55,-0.533860093710451,0.259375949096835
Hudsonian Godwit,False,2.397940009,False,50,-0.517805498139752,0.25815433930832
Hawaii Amakihi,False,1.130333768,True,100,-0.273342938545481,0.255147299828899
Arizona Woodpecker,False,1.67,True,45,-0.160041005950101,0.25088106256747
Northern Fulmar,False,2.79,False,35,-0.249073344672109,0.250805886580484
Gray-crowned Rosy-finch,False,1.4,False,45,-0.809538062554764,0.235808277176871
Zone-tailed Hawk,False,2.88,False,60,-0.094424440718295,0.232256211791804
Bell's Sparrow,False,1.23,False,50,-1.17623675067756,0.231974301840608
Swainson's Warbler,False,1.176091259,False,20,-0.858266166585765,0.23056475208463
Leconte's Sparrow,False,1.130333768,False,45,-0.85757233166298,0.226411278803679
Black-chinned Sparrow,False,1.1,False,20,-0.83460813784813,0.215830258635465
Long-eared Owl,False,2.47,False,20,0.964413767213979,0.21549196669403
Common Pauraque,False,1.76,True,45,-0.546529962424704,0.213180305094225
Bachman's Sparrow,False,1.29,False,22.5,-0.755160846895698,0.204779388548592
Ringed Kingfisher,False,2.51,True,80,-0.659647638289956,0.204666624568113
Ridgway's Rail,False,2.439332694,True,60,-0.125683916557343,0.203219486818642
Chukar,True,2.7,True,42.5,1.63946305345573,0.201434057127736
